Soil Series,Associated Series,Cansis,m.3a,m.3b,m.3c
Saint-Laurent,Saint-Laurent,SIE,0.941930743,0.016029952,0.042039305
Saint-piphane,Saint-piphane,SII,0.009038339,0.004493589,0.986468072
Saint-Aim,Saint-Aim,SIT,0.921568737,0.012925924,0.065505339
Saint-Jude,Saint-Jude,SJU,0.009862483,0.013479435,0.976658082
Saint-Jude. Sainte-Rosalie,Saint-Jude,SJU,0.009862483,0.013479435,0.976658082
Saint-Valentin,Saint-Valentin,SLE,,,
Saint-Benoit,Saint-Benoit,SNB,0.20955933,0.498927083,0.291513588
Saint-Antoine,Saint-Antoine,SNO,0.004884587,0.985602062,0.009513351
Soulange,Soulange,SOG,0.94166848,0.019539494,0.038792026
Sorel+La Baie,Sorel,SOL,0.002169098,0.991903026,0.005927876
Sainte-Rose,Sainte-Rose,SRE,0.480025347,0.059751805,0.460222848
Saint-SbaSaintien,Saint-Sbastien,SSE,0.152459853,0.69819147,0.149348677
Sainte-Rosalie,Sainte-Rosalie,SSL,0.879876479,0.037138812,0.082984709
Sainte Rosalie,Sainte-Rosalie,SSL,0.879876479,0.037138812,0.082984709
Sainte-Rosalie/Saint-Urbain,Sainte-Rosalie,SSL,0.879876479,0.037138812,0.082984709
Sainte-Rosalie/Saint-Anicet,Sainte-Rosalie,SSL,0.879876479,0.037138812,0.082984709
Sainte-Sophie,Sainte-Sophie,SSO,0.003693727,0.984638962,0.011667311
Saint-Urbain,Saint-Urbain,SUB,0.781889403,0.073980736,0.144129861
Saint-Hyacinthe,Saint-Hyacinthe,SYT,0.960797436,0.009640166,0.029562398
Sainte-Hyacinthe,Saint-Hyacinthe,SYT,0.960797436,0.009640166,0.029562398
Saint-Sylvre,Saint-Sylvre,SYV,0.099698352,0.030656358,0.86964529
Tilly,Tilly,TLY,0.972442637,0.005900098,0.021657266
Upland,Upland,UPD,0.000343146,0.998583037,0.001073818
Woodbridge,Woodbridge,WOI,0.444032965,0.080594948,0.475372087
Yamaska,Yamaska,YAS,0.974391908,0.006205082,0.019403011
